num;volume;mass;firm;TSS;TA;zs;theta;AE;color;dE2000;L1;A1;B1;C1;H1;WI_CIE1;L2;A2;B2;C2;H2;WI_CIE2
101;122,18;150,56;1,63;10,2;1,04;1,1785;-41,71;D;43,975;38,26;30,60;9,97;5,95;11,62;30,84;-5392,00;63,75;7,69;41,27;41,99;79,43;-20805,00
102;120,03;149,44;3,23;11;0,74;1,4014;-46,85;A;53,135;19,93;25,79;9,96;9,57;13,81;43,86;-10248,00;46,37;19,10;27,26;33,28;54,97;-17845,00
103;127,29;152,68;0,60;10,7;0,69;1,0513;-36,721;C;48,295;32,41;26,83;3,98;3,95;5,61;44,75;-4012,00;56,37;12,67;39,64;41,61;72,26;-22216,00
104;127,15;155,77;1,24;10,4;0,69;1,0262;-40,53;B;49,28;34,54;25,09;7,46;2,62;7,90;19,35;-2571,00;56,97;13,75;37,01;39,49;69,61;-20489,00
105;121,90;145,71;1,03;10,7;0,85;0,9067;-33,622;C;53,14;18,18;26,56;6,80;10,63;12,62;57,37;-11442,00;44,61;16,36;28,80;33,12;60,39;-19720,00
106;103,61;150,79;0,68;9,9;0,68;0,8501;-32,092;C;52,435;29,22;24,27;4,42;0,31;4,43;4,05;71,00;49,58;17,40;33,30;37,57;62,39;-20640,00
107;115,17;151,85;0,78;10,5;0,75;0,857;-33,771;C;47,08;37,84;26,40;5,09;2,16;5,53;22,98;-1967,00;60,57;9,34;39,97;41,04;76,85;-21171,00
108;123,73;150,07;1,45;10,2;0,79;1,384;-39,464;C;56,495;11,04;27,28;14,01;10,05;17,24;35,69;-10071,00;37,84;21,04;21,78;30,27;46,00;-16617,00
109;131,84;158,65;3,29;10,6;0,83;1,3092;-43,092;B;51,655;21,77;27,36;9,64;5,43;11,05;29,42;-5381,00;47,38;18,82;28,43;34,11;56,49;-18299,00
110;121,69;153,81;3,65;10,5;0,74;1,3371;-40,07;B;56,015;25,78;21,42;6,13;1,54;6,32;14,04;-1602,00;45,64;19,85;27,44;33,87;54,13;-18135,00
111;115,98;147,91;3,13;8,9;0,48;1,3229;-42,02;C;49,895;26,02;27,14;11,38;8,77;14,37;37,58;-8926,00;52,59;16,42;32,90;36,76;63,46;-19463,00
112;111,90;153,61;0,69;10;0,95;0,9278;-32,528;D;48,05;33,72;27,54;10,94;6,50;12,73;30,71;-6451,00;57,52;10,88;41,87;43,26;75,42;-23151,00
113;132,33;156,71;1,59;11,3;0,96;1,3284;-39,189;D;49,27;34,82;25,85;12,93;10,64;16,75;39,46;-11156,00;58,34;10,92;45,35;46,65;76,45;-24569,00
114;113,35;154,22;3,80;11,1;0,82;1,3785;-45,69;C;51,475;27,38;25,03;11,13;6,17;12,73;29,01;-6546,00;51,71;16,72;32,04;36,14;62,44;-19237,00
115;127,58;155,54;3,35;10,4;0,83;1,3096;-43,79;D;43,505;25,71;35,91;11,37;10,74;15,65;43,36;-8853,00;57,16;13,61;40,47;42,70;71,41;-22267,00
116;126,96;157,56;0,64;10,2;0,75;1,1605;-43,14;C;48,03;30,51;28,56;7,44;0,97;7,50;7,40;-432,00;54,32;15,62;34,45;37,83;65,62;-19836,00
117;124,14;147,29;3,71;10,1;0,83;1,3773;-44,74;C;50,685;31,17;25,03;11,88;6,96;13,76;30,36;-7392,00;54,25;12,83;37,96;40,08;71,32;-22092,00
118;124,42;148,89;0,91;8,7;0,79;1,0679;-36,988;E;43,15;24,18;36,25;18,25;21,08;27,87;49,10;-16878,00;58,02;8,96;33,48;34,66;75,03;-18587,00
119;128,98;155,12;3,38;8,9;0,78;1,5111;-44,82;B;48,55;21,91;31,31;10,23;5,03;11,41;26,20;-4344,00;49,17;16,53;30,89;35,05;61,86;-19443,00
120;125,80;152,24;4,11;9,8;0,92;1,41;-43,16;D;42,555;41,15;32,33;17,53;16,40;24,01;43,08;-14364,00;68,77;4,97;43,85;44,13;83,53;-20428,00
